ID,Localizacao,Rede,Funcao,Ruptura,Produtos,Criado,Criado por,Modificado,Modificado por,Data,Imagem1,Imagem2,Imagem3,Imagem4,Imagem5
26,"Praia de Botafogo, 440, Botafogo, Rio de Janeiro - Rio de Janeiro, 22250-908, Brazil",AO PHARMACEUTICO,DERMOCONSULTOR,Yes,"CLARITÉ SÉRUM 30ml DERMAGE,DERMAGE CLARITE CYSTEAMIN GEL CREME - 30G,DERMAGE INEOUT COLLAGEN - 30 GOMAS",2023-11-01 05:37:09,Carlos Nascimento,2023-11-01 05:37:09,Carlos Nascimento,2023/11/01,,,,,
27,"Praia de Botafogo, 440, Botafogo, Rio de Janeiro - Rio de Janeiro, 22250-908, Brazil",AO PHARMACEUTICO,DERMOCONSULTOR,Yes,,2023-11-01 05:49:28,Carlos Nascimento,2023-11-01 05:49:30,Carlos Nascimento,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/2dab43b4-fa8a-4ffb-a8a4-2f6e21582a9e.jpeg,,,,
28,"Avenida Meriti, 968, Vila da Penha, Rio de Janeiro - Rio de Janeiro, 21211-007, Brazil",PACHECO,VP,No,,2023-11-01 06:18:13,Helena Soares,2023-11-01 06:18:16,Helena Soares,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/51c2848a-c346-41ef-9ac0-f23dd2fd7a03.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/f50cf312-2b81-4fd4-9546-e3aac3358596.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/65ceb5bf-a83c-4143-b7ff-f0e4987e82c8.jpeg,,
29,"Av. Embaixador Abelardo Bueno, 800 - Jacarepaguá, Rio de Janeiro - RJ, 22775-023",VENANCIO,VP,No,,2023-11-01 06:27:46,Helena Soares,2023-11-01 06:32:25,Helena Soares,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/731ff801-8ff8-4ef7-9a72-ee92a9c7378d.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/2320cff2-af03-48e5-ba48-fa7dde09a0bb.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/5f167570-a568-44e5-ad52-8fdd147013c7.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/80288b98-311b-4bf2-bf80-dc6c6c701663.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/d2f61fe1-c3bb-4808-bce7-99e80d83f796.jpeg
30,"Av. Embaixador Abelardo Bueno, 2840 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",PACHECO,VP,No,,2023-11-01 06:30:33,Helena Soares,2023-11-01 06:31:23,Helena Soares,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/6ecb6117-b102-4f68-92df-595e0df63378.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/0341109e-993c-43ad-b49f-ea8141ffc0f6.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/3beb0e59-4fed-4cbc-b319-fe4f75d49a8f.jpeg,,
31,"Av. Embaixador Abelardo Bueno, 3050 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-04",VENANCIO,VP,No,,2023-11-01 06:34:28,Helena Soares,2023-11-01 06:35:37,Helena Soares,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/5102733e-b8a6-4ac5-b22f-cca3b2e271b2.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/c234c265-1007-4a3b-a8fb-f9a421b80657.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/2afc83e6-12a9-4e1f-ac5e-184ae84b046c.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/dfa0d6c1-31f7-4e31-9b4c-63c40233bd83.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/de15aef3-3799-426e-942b-78f7264dbcbf.jpeg
32,"Estr. de Jacarepaguá, 7823 - Freguesia de Jacarepaguá, Rio de Janeiro - RJ, 22753-033",VENANCIO,VP,Yes,INEOUT SILICIUM ++ - 30 GOMAS - DERMAGE,2023-11-01 06:38:02,Helena Soares,2023-11-01 06:39:28,Helena Soares,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/47f51c1e-5215-42a3-9fad-01b00a3af6de.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/e95c730e-acd4-4f89-baf9-2831c9a6b3d5.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/55461e28-fa86-4ba6-80fd-97d8376825fe.jpeg,,
33,"Av. das Américas, 3900 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102",IGUATEMI,VP,Yes,"PHOTOAGE STICK COLOR FPS99 COR D MÉDIO 12G,PHOTOAGE STICK COLOR FPS99 COR E MÉDIO INTENSE 12G,PHOTOAGE STICK INCOLOR FPS 99 DERMAGE 12 G",2023-11-01 06:42:09,Helena Soares,2023-11-01 06:43:15,Helena Soares,2023/11/01,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/9e52e479-5ce8-4178-ae72-6a7d9cb8e264.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/c5cbcad1-7701-4bda-912f-a098a21b74d6.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/2af44f68-8d5f-4d04-a540-b0d9f50825b8.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/6f3b7fe9-77a2-4f3f-ac1b-12c5ecebf417.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/b33ccbec-1728-4b32-881d-66bf138fb46e.jpeg
34,"Avenida Nossa Senhora de Copacabana, 793, Copacabana, Rio de Janeiro - Rio de Janeiro, 22051-020, Brazil",VENANCIO,VP,Yes,"PHOTOAGE STICK COLOR FPS99 COR E MÉDIO INTENSE 12G,SECATRIZ ACNE FREE - 148G/150ML - DERMAGE",2023-11-03 07:31:24,Helena Soares,2023-11-03 07:31:36,Helena Soares,2023/11/03,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/b429f9ee-12bf-4ff2-9add-9304dda9cf39.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/cdb77885-76dd-49e5-9a9f-50471ca4c79f.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/695f841e-89c4-4991-868d-ecdf3b952f35.jpeg,https://dermage.sharepoint.com/sites/AdminHomePage/SiteAssets/Lists/a71446a8-a43c-4fde-ab80-a8440de77d91/a4a91632-28a2-4da2-9c12-22f01df92265.jpeg,
